jmap -histo:live 17142

 num     #instances         #bytes  class name
 116:            94          14288  org.apache.jasper.compiler.Node$CustomTag
 117:           281          13488  org.apache.tomcat.util.modeler.OperationInfo
 118:           239          13384  sun.util.calendar.ZoneInfo
 119:           237          13272  org.springframework.core.MethodParameter
 120:            57          13224  [J
 121:           233          13048  org.springframework.core.annotation.AnnotationAttributes
 122:           271          13008  org.apache.tomcat.util.digester.CallMethodRule
 123:           525          12600  java.util.concurrent.locks.ReentrantReadWriteLock
 124:           753          12048  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock
 125:           753          12048  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter
 126:           753          12048  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock
 127:           376          12032  org.aspectj.weaver.patterns.ExposedState
 128:           559          11840  [Ljava.lang.reflect.Type;
 129:           208          11648  org.apache.tomcat.util.http.mapper.MappingData
 130:           608          11288  [Lsun.reflect.generics.tree.TypeArgument;
 131:           212          11088  [Ljava.beans.PropertyDescriptor;
 132:           341          10912  sun.misc.FDBigInteger
 133:           664          10624  java.util.LinkedHashSet
 134:           221          10608  java.util.WeakHashMap
 135:           220          10560  java.util.logging.LogManager$LoggerWeakRef
 136:           436          10464  javax.management.ObjectName$Property
 137:           216          10368  org.apache.jasper.runtime.BodyContentImpl
 138:           216          10368  org.apache.jasper.runtime.JspWriterImpl
 139:           317           9616  [Ljavax.management.ObjectName$Property;
 140:           200           9600  [Lorg.apache.tomcat.util.http.MimeHeaderField;
 141:           239           9560  javax.management.MBeanOperationInfo
 142:           397           9528  sun.reflect.NativeConstructorAccessorImpl
 143:           170           9520  sun.nio.cs.ISO_8859_1$Encoder
 144:           589           9424  java.lang.ref.ReferenceQueue$Lock
 145:           196           9408  java.util.concurrent.ConcurrentHashMap$TreeNode
 146:           573           9168  sun.reflect.generics.tree.ClassTypeSignature
 147:           190           9120  org.apache.jasper.compiler.Node$JspAttribute
 148:           100           8800  org.apache.coyote.RequestInfo
 149:           100           8800  org.apache.coyote.Response
 150:           344           8256  ch.qos.logback.classic.spi.LoggerRemoteView
 151:           172           8256  java.net.SocketInputStream
 152:           172           8256  java.net.SocketOutputStream
 153:           128           8192  net.sf.ehcache.store.chm.SelectableConcurrentHashMap$Segment
 154:           100           8000  org.apache.catalina.connector.OutputBuffer
 155:           100           8000  org.apache.coyote.http11.filters.ChunkedInputFilter
 156:           109           7848  org.apache.catalina.valves.AccessLogValve$DateFormatCache$Cache
 157:           107           7704  java.util.logging.Logger
 158:           192           7680  sun.nio.cs.UTF_8$Decoder
 159:           159           7632  org.springframework.beans.PropertyValue
 160:           308           7392  java.lang.Class$AnnotationData
 161:           459           7344  java.util.Collections$UnmodifiableSet
 162:           303           7272  sun.reflect.annotation.AnnotationInvocationHandler
 163:           100           7200  org.apache.catalina.connector.InputBuffer
 164:           100           7200  org.apache.tomcat.util.http.Parameters
 165:           149           7152  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
 166:           176           7040  java.security.ProtectionDomain
 167:           434           6944  java.util.LinkedHashMap$LinkedKeySet
 168:           288           6912  [Lorg.hibernate.validator.internal.util.ConcurrentReferenceHashMap$HashEntry;
 169:            95           6840  sun.reflect.DelegatingClassLoader
 170:           212           6784  org.apache.tomcat.util.modeler.ParameterInfo
 171:           140           6720  java.beans.BeanDescriptor
 172:           207           6624  javax.management.MBeanParameterInfo
 173:           413           6608  sun.reflect.DelegatingConstructorAccessorImpl
 174:           117           6552  org.apache.naming.resources.CacheEntry
 175:            81           6480  sun.net.www.protocol.jar.URLJarFile
 176:           384           6472  [Ljavax.servlet.jsp.tagext.TagVariableInfo;
 177:           202           6464  java.io.FileDescriptor
 178:           200           6400  [Lorg.apache.coyote.http11.InputFilter;
 179:           200           6400  [Lorg.apache.coyote.http11.OutputFilter;
 180:           100           6400  org.apache.catalina.connector.Response
 181:           100           6400  org.apache.coyote.http11.InternalInputBuffer
 182:           100           6400  org.apache.coyote.http11.InternalOutputBuffer
 183:           200           6400  org.apache.tomcat.util.buf.C2BConverter
 184:           100           6400  org.apache.tomcat.util.net.SocketWrapper
 185:           160           6400  sun.util.locale.BaseLocale$Key
 186:           159           6360  javax.management.ObjectName
 187:           264           6336  java.lang.Long
 188:           392           6272  java.lang.Integer
 189:           261           6264  org.springframework.beans.factory.annotation.InjectionMetadata
 190:           383           6128  java.lang.Character
 191:           188           6016  java.net.Socket
 192:           107           5992  java.util.zip.ZipFile$ZipFileInflaterInputStream
 193:           107           5992  java.util.zip.ZipFile$ZipFileInputStream
 194:           281           5896  [Lorg.apache.tomcat.util.modeler.ParameterInfo;
 195:           104           5824  java.util.ResourceBundle$CacheKey
 196:           179           5728  java.security.CodeSource
 197:           177           5664  java.net.InetAddress$InetAddressHolder
 198:           100           5600  [Lorg.apache.catalina.core.ApplicationFilterConfig;
 199:           140           5600  java.beans.GenericBeanInfo
 200:           100           5600  org.apache.catalina.connector.CoyoteReader
 201:           170           5440  java.util.logging.LogManager$LogNode
 202:            75           5400  java.util.regex.Pattern
 203:           221           5304  java.lang.ThreadLocal$ThreadLocalMap
 204:           218           5232  sun.reflect.generics.factory.CoreReflectionFactory
 205:           163           5216  java.util.Locale
 206:           108           5184  [Ljavax.servlet.jsp.PageContext;
 207:           108           5184  java.util.concurrent.ThreadPoolExecutor$Worker
 208:            80           5168  [Ljavax.management.MBeanAttributeInfo;
 209:           161           5152  java.util.zip.ZipCoder
 210:           107           5136  java.nio.HeapByteBuffer
 211:            80           5120  java.util.jar.JarFile
 212:           128           5120  net.sf.ehcache.store.chm.SelectableConcurrentHashMap$SegmentIterator
 213:           160           5120  sun.util.locale.BaseLocale
 214:            91           5096  sun.misc.URLClassPath$JarLoader
 215:           104           4992  java.util.ResourceBundle$BundleReference
 216:           124           4960  java.io.ObjectStreamField
 217:           155           4960  org.apache.jasper.util.UniqueAttributesImpl
 218:           123           4920  org.apache.tomcat.util.modeler.BaseModelMBean
 219:           237           4880  [Lsun.reflect.generics.tree.FieldTypeSignature;
 220:           100           4800  org.apache.catalina.connector.CoyoteWriter
 221:           200           4800  org.apache.tomcat.util.http.MimeHeaders
 222:           100           4800  org.apache.tomcat.util.http.ServerCookie
 223:            30           4768  [Lcom.sun.org.apache.xerces.internal.xni.QName;
 224:           298           4768  java.util.LinkedHashMap$LinkedValues
 225:           193           4632  javax.management.ImmutableDescriptor
 226:           192           4608  com.sun.org.apache.xerces.internal.util.SymbolHash$Entry
 227:           186           4464  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 228:           138           4416  java.util.Collections$UnmodifiableMap
 229:           216           4320  [Lorg.apache.jasper.runtime.BodyContentImpl;
 230:           108           4320  java.math.BigInteger
 231:           108           4320  sun.nio.cs.ISO_8859_1$Decoder
 232:           175           4200  java.net.Inet4Address
 233:           130           4160  com.sun.jmx.mbeanserver.ConvertingMethod
 234:           173           4152  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 235:           259           4144  java.lang.Byte
 236:           259           4144  java.lang.Short
 237:           103           4120  org.apache.tomcat.util.log.UserDataHelper
 238:             1           4112  [Lorg.joda.time.chrono.BasicChronology$YearInfo;
 239:           170           4080  java.util.jar.Attributes$Name
 240:           170           4080  sun.nio.cs.Surrogate$Parser
 241:           168           4032  org.apache.jasper.compiler.Node$Nodes
 242:           100           4000  org.apache.coyote.http11.filters.IdentityInputFilter
 243:           100           4000  org.apache.tomcat.util.buf.UEncoder
 244:            99           3960  sun.reflect.generics.repository.MethodRepository
 245:           158           3912  [Ljavax.management.MBeanParameterInfo;
 246:           219           3904  [Lsun.reflect.generics.tree.FormalTypeParameter;
 247:           161           3864  java.util.ArrayDeque
 248:           119           3808  sun.reflect.generics.repository.ClassRepository
 249:           158           3792  com.sun.jmx.mbeanserver.NamedObject
 250:            79           3792  javax.management.MBeanInfo
 251:           157           3768  java.util.Locale$LocaleKey
 252:            10           3760  java.lang.Thread
 253:           152           3648  org.springframework.beans.MutablePropertyValues
 254:           152           3648  org.springframework.beans.factory.config.ConstructorArgumentValues
 255:            76           3648  sun.nio.cs.US_ASCII$Decoder
 256:            64           3584  org.apache.tomcat.util.modeler.ManagedBean
 257:           147           3528  org.apache.commons.logging.impl.SLF4JLocationAwareLog
 258:           110           3520  java.lang.StringCoding$StringEncoder
 259:           109           3488  org.apache.catalina.valves.AccessLogValve$DateFormatCache
 260:           141           3480  [Lorg.apache.el.parser.Node;
 261:           108           3456  java.lang.StringCoding$StringDecoder
 262:            72           3456  org.hibernate.validator.internal.metadata.aggregated.MethodMetaData
 263:           141           3384  java.util.concurrent.CopyOnWriteArrayList
 264:           104           3328  java.util.ResourceBundle$LoaderReference
 265:           102           3264  [Ljava.text.SimpleDateFormat;
 266:           204           3264  sun.reflect.DelegatingMethodAccessorImpl
 267:            58           3248  org.hsqldb.HsqlNameManager$HsqlName
 268:           100           3200  [Lorg.apache.tomcat.util.http.ServerCookie;
 269:           100           3200  org.apache.catalina.core.ApplicationFilterChain
